"","storm_id","wateryear","eventstart","eventend","duration_hr","total_depth_mm"
"1",1,"2017-2018",2018-09-12 17:15:00,2018-09-12 21:30:00,4.25,12.446
"2",2,"2017-2018",2018-09-13 20:50:00,2018-09-13 23:05:00,2.25,11.938
"3",3,"2018-2019",2018-11-22 11:45:00,2018-11-22 17:15:00,5.5,9.398
"4",4,"2018-2019",2018-11-23 06:30:00,2018-11-23 15:25:00,8.91666666666667,7.112
"5",5,"2018-2019",2018-11-26 18:50:00,2018-11-27 08:20:00,13.5,16.002
"6",6,"2018-2019",2018-11-28 07:35:00,2018-11-28 16:15:00,8.66666666666667,6.604
"7",7,"2018-2019",2018-11-30 15:05:00,2018-11-30 18:55:00,3.83333333333333,6.604
"8",8,"2018-2019",2018-12-09 10:40:00,2018-12-09 21:45:00,11.0833333333333,12.954
"9",9,"2018-2019",2018-12-11 14:10:00,2018-12-11 23:25:00,9.25,10.668
"10",10,"2018-2019",2018-12-16 11:50:00,2018-12-16 17:15:00,5.41666666666667,6.096
"11",11,"2018-2019",2018-12-17 15:50:00,2018-12-18 10:20:00,18.5,26.162
"12",12,"2018-2019",2018-12-22 17:25:00,2018-12-23 00:20:00,6.91666666666667,11.684
"13",13,"2018-2019",2018-12-23 17:05:00,2018-12-23 22:00:00,4.91666666666667,5.588
"14",14,"2018-2019",2018-12-29 17:55:00,2018-12-30 00:45:00,6.83333333333333,11.176
"15",15,"2018-2019",2019-01-06 10:05:00,2019-01-06 15:45:00,5.66666666666667,5.334
"16",16,"2018-2019",2019-01-08 03:25:00,2019-01-08 10:50:00,7.41666666666667,6.35
"17",17,"2018-2019",2019-01-18 13:05:00,2019-01-19 04:05:00,15,25.146
"18",18,"2018-2019",2019-01-20 05:20:00,2019-01-20 17:05:00,11.75,10.922
"19",19,"2018-2019",2019-01-22 10:45:00,2019-01-22 16:45:00,6,5.334
"20",20,"2018-2019",2019-02-11 02:10:00,2019-02-12 16:35:00,38.4166666666667,44.704
"21",21,"2018-2019",2019-02-14 10:10:00,2019-02-14 17:20:00,7.16666666666667,6.858
"22",22,"2018-2019",2019-02-19 20:10:00,2019-02-20 03:55:00,7.75,6.604
"23",23,"2018-2019",2019-02-22 15:55:00,2019-02-22 22:05:00,6.16666666666667,5.588
"24",24,"2018-2019",2019-02-24 00:40:00,2019-02-24 10:25:00,9.75,9.144
"25",25,"2018-2019",2019-03-11 23:10:00,2019-03-12 07:25:00,8.25,7.62
"26",26,"2018-2019",2019-03-25 12:10:00,2019-03-25 19:15:00,7.08333333333333,5.588
"27",27,"2018-2019",2019-04-05 04:05:00,2019-04-05 15:40:00,11.5833333333333,8.382
"28",28,"2018-2019",2019-04-06 05:25:00,2019-04-06 11:20:00,5.91666666666667,7.62
"29",29,"2018-2019",2019-04-06 19:25:00,2019-04-07 07:05:00,11.6666666666667,18.034
"30",30,"2018-2019",2019-04-07 23:45:00,2019-04-08 11:50:00,12.0833333333333,6.604
"31",31,"2018-2019",2019-04-19 14:55:00,2019-04-20 01:10:00,10.25,5.842
"32",32,"2018-2019",2019-05-18 19:05:00,2019-05-19 07:05:00,12,21.336
"33",33,"2018-2019",2019-05-25 14:05:00,2019-05-25 21:45:00,7.66666666666667,11.684
